Primary Location Source Id,,,,
name,count,,name,count
American Journal of Archaeology,2958,,DOAJ (DOAJ: Directory of Open Access Journals),12130
L'Antiquité Classique,2880,,PubMed,3917
Choice Reviews Online,2722,,Deleted Journal,3109
Ḥadašŵt ʾarkeyŵlŵgiyŵt.,2652,,Zenodo (CERN European Organization for Nuclear Research),2577
The International Journal of Nautical Archaeology,2581,,SSRN Electronic Journal,1324
The Classical Review,2389,,,
Journal of Near Eastern Studies,2255,,,
The Journal of Egyptian Archaeology,2158,,,
Journal of the American Oriental Society,1980,,,
DergiPark (Istanbul University),1859,,,
American Journal of Physical Anthropology,1857,,,
Antiquity,1777,,,
Archéologie médiévale,1739,,,
Revista de arqueología,1701,,,
Journal of Roman Archaeology,1654,,,
Arkeoikuska: Investigación arqueológica,1605,,,
Abstracta Iranica,1588,,,
ADLFI. Archéologie de la France - Informations. une revue Gallia,1583,,,
Revista de Girona,1521,,,
Bulletin of the American Schools of Oriental Research,1380,,,
ADLFI Archéologie de la France - Informations,1367,,,
Journal of Archaeological Science,1295,,,
Studies in Conservation,1244,,,
Revue belge de philologie et d histoire,1241,,,
Journal of Forensic Sciences,1203,,,
Bulletin of the School of Oriental and African Studies,1191,,,
Journal of Archaeological Science Reports,1185,,,
Abstracts with programs - Geological Society of America,1172,,,
Forensic Science International,1117,,,
International Journal of Osteoarchaeology,1099,,,
Speculum,1090,,,
Bulletin Monumental,1089,,,
‘Atiqot,1088,,,
The American Historical Review,1082,,,
The Journal of Roman Studies,1051,,,
Syria,994,,,
Denkmalpflege in Baden-Württemberg – Nachrichtenblatt der Landesdenkmalpflege,993,,,
Archaeometry,986,,,
Bonner Jahrbücher des Rheinischen Landesmuseums in Bonn und des Rheinischen Amtes für Bodendenkmalpflege im Landschaftsverband Rheinland und des Vereins von Altertumsfreunden im Rheinlande,973,,,
Tel Aviv,939,,,
Sprawozdania Archeologiczne,935,,,
Journal of Semitic Studies,916,,,
Württembergisch Franken,900,,,
The Journal of Hellenic Studies,900,,,
Revue des Études Anciennes,876,,,
Historische Zeitschrift,871,,,
The 81st Annual Meeting of the Society for American Archaeology,841,,,
International Journal of Heritage Studies,823,,,
Journal of Cultural Heritage,800,,,
Society for Historical Archaeology,783,,,
Journal of the Society of Architectural Historians,769,,,
Dialogues d histoire ancienne,743,,,
Revue des Études Grecques,743,,,
Science,738,,,
Altorientalische Forschungen,736,,,
Madrider Mitteilungen,719,,,
PH. Boletín del Instituto Andaluza del Patrimonio Histórico/PH/PH. Boletín del Instituto Andaluz del Patrimonio Histórico/Boletín informativo - Instituto Andaluz del Patrimonio Histórico,718,,,
Zeitschrift für Papyrologie und Epigraphik,718,,,
Journal of the American Research Center in Egypt,717,,,
Shanxi Architecture,712,,,
Archeologia Polski,711,,,
Chronique d Egypte,703,,,
The Journal of Ecclesiastical History,696,,,
Orientalistische Literaturzeitung,692,,,
Comptes-rendus des séances de l année - Académie des inscriptions et belles-lettres,692,,,
Bulletin de correspondance hellénique,690,,,
The Biblical Archaeologist,690,,,
Mélanges de l École française de Rome Antiquité,690,,,
Gnomon,683,,,
Iraq,681,,,
The Antiquaries Journal,677,,,
Levant,673,,,
The Mariner s Mirror,672,,,
Paléorient,670,,,
Trabajos de Prehistoria,665,,,
Historia y vida,665,,,
Archivo Español de Arqueología,662,,,
Zeitschrift für Assyriologie und Vorderasiatische Archäologie,646,,,
Nature,643,,,
Palestine Exploration Quarterly,643,,,
Vetus Testamentum,642,,,
Near Eastern Archaeology,633,,,
Britannia,633,,,
Journal of Field Archaeology,628,,,
Complutum,627,,,
Heritage,627,,,
Historia,620,,,
Heritage Science,613,,,
La Aventura de la historia,610,,,
Zeitschrift für Ägyptische Sprache und Altertumskunde,606,,,
Archaeological and Anthropological Sciences,601,,,
Journal of Raman Spectroscopy,601,,,
Quaternary International,599,,,
International Journal of Legal Medicine,587,,,
The Classical World,581,,,
The Historic Environment Policy & Practice,574,,,
Journal of Cuneiform Studies,566,,,
Journal of Jewish Studies,562,,,
On diseño,561,,,
Sautuola: Revista del Instituto de Prehistoria y Arqueología Sautuola,558,,,
Boletín del Seminario de Estudios de Arte y Arqueología: BSAA,552,,,
Revue d histoire et de philosophie religieuses,543,,,
The Annual of the British School at Athens,541,,,
Cahiers du Centre d Etudes Chypriotes,541,,,
Revue numismatique,534,,,
EGU General Assembly Conference Abstracts,529,,,
Arabian archaeology and epigraphy,511,,,
Publications de l'École Française de Rome,505,,,
The 80th Annual Meeting of the Society for American Archaeology,504,,,
Cahiers de civilisation médiévale,503,,,
Munibe Antropologia-Arkeologia,502,,,
Docs.school Publications,499,,,
HABIS,498,,,
Hesperia The Journal of the American School of Classical Studies at Athens,497,,,
The Journal of Theological Studies,490,,,
EGUGA,488,,,
SPAL Revista de Prehistoria y Arqueología de la Universidad de Sevilla,486,,,
Bulletin de la Société préhistorique française Études et travaux,485,,,
Geogaceta,485,,,
Annales Histoire Sciences Sociales,476,,,
Castillos de España: publicación de la Asociación Española de Amigos de los Castillos,476,,,
International Journal of Maritime History,475,,,
Cuadernos de Prehistoria y Arqueología de la Universidad Autónoma de Madrid,475,,,
Annales Instituti archaeologici,474,,,
"Syria. Archéologie, Art et histoire",471,,,
Acta numismàtica,468,,,
American Anthropologist,466,,,
Journal for the Study of Judaism,466,,,
Prilozi Instituta za arheologiju u Zagrebu,464,,,
Sustainability,463,,,
Anthropology News,459,,,
Clío: Revista de historia,457,,,
Schwäbische Heimat,457,,,
Boletín de la Sociedad Española de Mineralogía,454,,,
Polish Archaeology in the Mediterranean,452,,,
Conimbriga Revista de Arqueologia,451,,,
Revue du Nord,448,,,
AV: Monografías,448,,,
"Erol, L': revista cultural del Berguedà",448,,,
American Antiquity,447,,,
Hortus Artium Medievalium,447,,,
Antigüedad y cristianismo: Monografías históricas sobre la Antigüedad tardía,445,,,
Klio,445,,,
Hispania Antiqua,444,,,
Mainake,444,,,
Boletín del Museo Arqueológico Nacional/Boletín del Museo Arqueológico Nacional,442,,,
The Expository Times,439,,,
Iliria,438,,,
Archäologische Informationen,438,,,
Religious Studies Review,437,,,
World Literature Today,433,,,
Journal of the Economic and Social History of the Orient,433,,,
Краткие сообщения Института археологии (КСИА),433,,,
Collection de l'Institut des Sciences et Techniques de l'Antiquité,431,,,
Restauración & rehabilitación,431,,,
Revista de estudios extremeños,431,,,
Cuadernos de Prehistoria y Arqueología de la Universidad de Granada,430,,,
Microchemical Journal,429,,,
Ficheiro epigrafico,427,,,
Vjesnik Arheološkog muzeja u Zagrebu,426,,,
Annals de l'Institut d'Estudis Empordanesos,426,,,
Ritmo,425,,,
Sixteenth Century Journal,422,,,
Boletín del Instituto de Estudios Giennenses,422,,,
Pyrenae: revista de prehistòria i antiguitat de la Mediterrània Occidental,421,,,
Espacio Tiempo y Forma Serie II Historia Antigua,420,,,
Serra d'Or,415,,,
Archaeology and Early History of Ukraine,412,,,
Ugarit-Forschungen,412,,,
AGU Fall Meeting Abstracts,411,,,
Boletín de las cofradías de Sevilla,410,,,
Topoi. Orient-Occident,410,,,
Archeologia medievale,407,,,
Povolzhskaya Arkheologiya (The Volga River Region Archaeology),406,,,
"Quadern de les idees, les arts i les lletres",406,,,
European Journal of Archaeology,404,,,
Gallaecia: revista de arqueoloxía e antigüidade,404,,,
Vigiliae Christianae,403,,,
Arqueología y Territorio Medieval,402,,,
Museum International,398,,,
Trabajos de Arqueología Navarra,398,,,
Ägypten und Levante,397,,,
Peregrino: revista del Camino de Santiago,395,,,
Journal of Ancient Egyptian Interconnections,394,,,
Göttinger Miszellen,392,,,
Proyectar La Rioja,392,,,
Informes de la Construcción,390,,,
Lucentum,389,,,
Mnemosyne,389,,,
Mélanges de la Casa de Velázquez,388,,,
Anatolian Studies,388,,,
The New Scientist,387,,,
Archives de sciences sociales des religions,386,,,
Museum International (Edition Francaise),384,,,
Annals de l'Institut d'Estudis Gironins,384,,,
